FECH;ADUA;PAIS;COD_PAI4;COD_SAL1;COD_SAL;DPTO2;VIA;BANDERA;REGIM;MODAD;FINALID;CER_ORI1;SISESP;DPTO1;UNID;CODUNI2;CANTI;PBK;PNK;FOBDOL;FOBPES
2310;3;23;DEU;3;BOG;25;3;23;1;198;1;8;2;25;33;KG;216;278,09;216;808,75;3514385,01
2310;3;23;DEU;3;BOG;25;3;23;1;198;1;8;2;25;33;KG;70;88,4;70;329,9;1419720,97
2310;3;23;DEU;3;BOG;25;3;23;1;198;1;8;2;25;33;KG;1125;1476,85;1125;5884,52;25281881,48
2310;3;23;DEU;3;BOG;25;3;23;1;198;1;8;2;25;33;KG;17;22,81;17;86,4;367380,58
2310;3;23;DEU;3;BOG;25;3;23;1;198;1;8;2;25;11;U;1000;0,11;0,1;122,49;514645,4
2310;3;23;DEU;3;BOG;25;3;23;1;198;1;8;2;25;11;U;319;184,88;163,6;5782,57;24295641,33
2310;3;23;DEU;3;BOG;25;3;23;1;2;2;8;2;25;11;U;253671;1079;737,1;1388,11;5812030,45
2310;3;23;DEU;3;BOG;25;3;253;1;198;1;5;1;25;11;U;2040;72,92;30;277,44;1169123,83
2310;3;23;DEU;3;BOG;25;3;253;1;198;1;5;1;25;11;U;2380;85,07;35;323,68;1363977,8
2310;3;23;DEU;3;BOG;25;3;573;1;198;1;8;1;25;11;U;40200;1386,38;1174,48;6518,4;27682159,68
2310;3;23;DEU;3;BOG;25;3;573;1;198;1;8;1;25;11;U;230280;7658,6;6545,52;36884,4;156569128
2310;3;23;DEU;3;BOG;25;3;573;1;198;2;8;2;25;11;U;180;7;5,04;27;118439,82
2310;3;23;DEU;3;BOG;25;5;245;1;198;1;8;1;25;11;U;4760;160,01;156;618,8;2617901,46
2310;3;23;DEU;3;BOG;25;5;245;1;198;1;8;1;25;11;U;2380;78,98;77;309,4;1308950,73
2310;3;23;DEU;3;BOG;25;8;618;1;198;1;8;1;25;11;U;13320;498,72;370;2131,2;9009413,56
2310;3;23;DEU;3;BOG;25;8;618;1;198;1;8;1;25;11;U;91980;3238,27;2672;13690,8;57890365,73
2310;3;23;DEU;3;BOG;25;8;618;1;198;1;8;1;25;11;U;8160;567;329;2448;10245904,32
2310;3;23;DEU;3;BOG;25;9;169;4;201;2;8;2;11;11;U;8;93;88,35;8800;37301880
2310;3;23;DEU;3;BOG;25;9;169;4;201;2;8;2;25;11;U;2;18;17,1;2200;9325470
2310;3;23;DEU;3;BOG;25;9;249;1;198;1;8;2;25;33;KG;4856,8;5472;4856,8;39695;167215187,5
2310;3;23;DEU;3;BOG;25;9;249;1;198;2;8;2;25;11;U;834;4;3;8,34;35294,62
2310;3;23;DEU;3;BOG;50;3;23;1;199;1;8;2;50;11;U;32845;686;665;4646,5;18835795,84
2310;3;23;DEU;3;BOG;68;3;23;1;198;1;8;2;68;67;M3;3381,21;3361469,37;2939106;2458783,87;10373020843
2310;3;23;DEU;3;BOG;76;3;23;1;198;1;8;2;76;33;KG;560;583;560;19753,22;83595034,44
2310;3;23;DEU;3;BOG;76;3;23;1;198;1;8;2;76;33;KG;2162,5;2293,99;2162,5;63863,88;280149127,8
2310;3;23;DEU;3;BOG;76;3;23;1;198;1;8;2;76;33;KG;300;326;300;883,1;3638919,52
2310;3;26;ARM;3;BOG;5;9;169;1;198;2;8;2;5;11;U;60;11;9;0,12;494,47
2310;3;26;ARM;3;BOG;11;3;253;1;198;1;8;2;11;11;U;448;296;264;1468,8;6443126,2
2310;3;26;ARM;3;BOG;11;8;618;1;198;1;8;1;11;11;U;800;28;24;148;601002,84
2310;3;26;ARM;3;BOG;11;9;169;1;198;1;8;2;11;11;U;1540;60,06;55;246,4;1080873,02
2310;3;26;ARM;3;BOG;11;9;169;1;198;1;8;2;11;11;U;37690;1102,93;1010;5653,5;24799982,31
2310;3;26;ARM;3;BOG;11;9;169;1;198;1;8;2;11;11;U;10560;740;671;3270,4;14256981,76
2310;3;26;ARM;3;BOG;25;3;253;1;198;1;8;2;25;11;U;700;11;10;126;534095,1
2310;3;27;ABW;3;BOG;11;0;580;1;198;1;4;2;11;11;U;2864;726,77;712;977,86;4289539,34
2310;3;27;ABW;3;BOG;11;0;580;1;198;1;4;2;11;11;U;2532;164,33;161;866,24;3799900,35
2310;3;27;ABW;3;BOG;11;0;580;1;198;1;4;2;11;11;U;1593;93,9;92;464,56;2037866,76
2310;3;27;ABW;3;BOG;11;0;580;1;198;1;4;2;11;11;U;25;9,18;9;387,5;1699830,75
