FECH;ADUA;PAIS;COD_PAI4;COD_SAL1;COD_SAL;DPTO2;VIA;BANDERA;REGIM;MODAD;FINALID;CER_ORI1;SISESP;DPTO1;UNID;CODUNI2;CANTI;PBK;PNK;FOBDOL;FOBPES
2312;3;26;ARM;3;BOG;11;9;169;1;198;1;8;2;11;11;U;1885;117,89;103;400,6;1611697,92
2312;3;26;ARM;3;BOG;11;9;169;1;198;2;8;2;11;11;U;250;11,2;8;25;98919
2312;3;26;ARM;3;BOG;11;9;169;1;198;2;8;2;11;33;KG;7;9,8;7;20;79135,2
2312;3;26;ARM;3;BOG;25;3;253;1;198;1;8;2;25;11;U;350;15;4;63;251906,13
2312;3;26;ARM;3;BOG;25;8;618;1;198;1;8;1;25;11;U;350;13,34;12;59,5;237994,64
2312;3;26;ARM;3;BOG;25;8;618;1;198;1;8;1;25;11;U;6050;195,65;176;992,5;3969910,67
2312;3;26;ARM;3;BOG;25;8;618;1;198;1;8;2;25;11;U;4000;51;43;220;876293
2312;3;27;ABW;3;BOG;11;0;580;1;198;1;8;2;11;11;U;13972;769,36;695;4317,73;17227122,22
2312;3;27;ABW;3;BOG;11;0;580;1;198;1;8;2;11;11;U;3425;148,58;138;910,95;3603608,88
2312;3;27;ABW;3;BOG;11;0;580;1;198;1;8;2;11;11;U;1548;63,95;57;435,1;1739751,7
2312;3;27;ABW;3;BOG;11;0;580;1;198;1;8;2;11;11;U;258;6,73;6;39,55;158141,07
2312;3;27;ABW;3;BOG;11;0;580;1;198;1;8;2;11;11;U;3502;168,69;155;586,55;2332124,37
2312;3;27;ABW;3;BOG;11;0;580;1;198;1;8;2;11;11;U;516;20,19;18;118,66;474463,19
2312;3;27;ABW;3;BOG;11;0;580;1;198;1;8;2;11;11;U;18060;719,14;641;4569,34;18270551,6
2312;3;27;ABW;3;BOG;11;0;580;1;198;1;8;2;11;33;KG;289;324,26;289;2768,83;11071194,44
2312;3;27;ABW;3;BOG;11;0;580;1;198;1;8;2;11;33;KG;130;139,96;130;1067,23;4221833,81
2312;3;27;ABW;3;BOG;11;0;580;1;198;1;8;2;11;33;KG;40;45,89;40;102,96;414229,7
2312;3;27;ABW;3;BOG;11;0;580;1;198;1;8;2;11;33;KG;80;91,78;80;85,64;344547,7
2312;3;27;ABW;3;BOG;11;0;580;1;198;1;8;2;11;33;KG;70;80,31;70;206,22;829666,36
2312;3;27;ABW;3;BOG;11;0;580;1;198;1;8;2;11;11;U;50;73;70;1406;5529221,54
2312;3;27;ABW;3;BOG;11;0;580;1;198;1;8;2;11;11;U;90;22,31;18,4;2270,52;8952728,46
2312;3;27;ABW;3;BOG;11;0;580;1;198;1;8;2;11;11;U;54;13,57;10,4;1218,2;4803399,14
2312;3;27;ABW;3;BOG;11;0;580;1;198;1;8;2;11;11;U;159;42,32;33,6;4085,41;16108894,18
2312;3;27;ABW;3;BOG;11;0;580;1;198;1;8;2;11;11;U;58;13,1;10,6;1748,53;6894506,23
2312;3;27;ABW;3;BOG;11;0;580;1;198;1;8;2;11;11;U;337;80,28;65,4;9732,3;38374750,86
2312;3;27;ABW;3;BOG;11;0;580;1;198;1;8;2;11;11;U;148;31,12;26;2788,33;10994468,83
2312;3;27;ABW;3;BOG;11;0;580;1;198;1;8;2;11;11;U;36;10,21;9;500,4;1973092,21
2312;3;27;ABW;3;BOG;11;0;580;1;198;1;8;2;11;11;U;36;5,04;4;629,4;2481743,08
2312;3;27;ABW;3;BOG;11;9;239;1;198;1;6;2;11;11;U;2325;168,27;160;744;2925846,96
2312;3;27;ABW;3;BOG;11;9;239;1;198;1;6;2;11;11;U;1296;136,72;130;568,9;2237250,45
2312;3;27;ABW;3;BOG;11;9;239;1;198;1;8;2;11;11;U;5380;364,27;308;2389,2;9553240,09
2312;3;27;ABW;3;BOG;11;9;239;1;198;1;8;2;11;11;U;2018;55,58;47;597,29;2388270,03
2312;3;27;ABW;3;BOG;11;9;239;1;198;1;8;2;11;11;U;1345;47,3;40;447,97;1791212,52
2312;3;27;ABW;3;BOG;11;9;239;1;198;1;8;2;11;11;U;336;18,92;16;119,46;477662
2312;3;27;ABW;3;BOG;11;9;239;1;198;1;8;2;11;11;U;8743;344,13;291;2257,8;9027835,83
2312;3;27;ABW;3;BOG;11;9;239;1;198;1;8;2;11;33;KG;108;127,72;108;358,38;1432986
2312;3;27;ABW;3;BOG;11;9;239;1;104;2;8;2;11;33;KG;0,01;0,01;0,01;35;139410,25
2312;3;27;ABW;3;BOG;11;9;249;1;199;2;8;2;11;33;KG;32,4;34,1;32,4;358,4;1369822,72
2312;3;27;ABW;3;BOG;11;9;249;1;199;2;8;2;11;33;KG;13,2;13,89;13,2;93;355450,65
2312;3;27;ABW;3;BOG;25;0;580;1;198;1;8;2;25;11;U;680;14,32;14;190,2;749964,3
2312;3;27;ABW;3;BOG;25;0;580;1;198;1;8;2;25;11;U;1040;35,8;35;272,8;1075658,58
