ADUA,COD_PAI4,CANTI,FOBDOL,FOBPES
3,BOL,107,16588,67102150
3,BOL,112,5676,22460073
3,BOL,109,11032,44627919
3,BOL,125,5328,21316543
3,BOL,13,6446,26074194
3,BOL,546,12519,50364635
3,BOL,7,607,2428294
3,BOL,6,46,182374
3,BOL,82,556,2221683
3,BOL,15,94,376746
3,BOL,7,19,77669
3,BOL,30,148,591516
3,BOL,14,72,287799
3,BOL,143,401,1603092
3,BOL,227,482,1927365
3,BOL,5,52,207970
3,BOL,20,180,719697
3,BOL,6,16,64791
3,BOL,5,36,141980
3,BOL,58,535,2141055
3,BOL,14,364,1464448
3,BOL,33680,3180,12719067
3,BOL,206,11580,46124638
3,BOL,314,14072,56051046
3,BOL,34,258,1045285
3,BOL,97,648,2621141
3,BOL,16,100,406464
3,BOL,90,418,1691792
3,BOL,22,108,438745
3,BOL,59,322,1302399
3,BOL,13,55,221921
3,BOL,222,480,1942515
3,BOL,21,34,138468
3,BOL,16,73,293845
3,BOL,81,236,954025
3,BOL,13,29,116502
3,BOL,634,1349,5457366
3,BOL,198,848,3430063
3,BOL,253,792,3204097
3,BOL,9,94,378633
3,BOL,93,458,1853641
3,BOL,6,22,90532
3,BOL,66,635,2567906
3,BOL,4,24,96276
3,BOL,36,170,689467
3,BOL,65,270,1091198
3,BOL,19,1591,6434772
3,BOL,4,4638,18473372
3,BOL,1,1848,7361372
3,BOL,130,1434,5479291
3,BOL,92,651,2488155
3,BOL,2,25,96316
3,BOL,36,3339,12926772
3,BOL,233,11784,45619231
3,BOL,130,1755,6794395
3,BOL,838,4014,15987209
3,BOL,174,411,1638269
3,BOL,559,1536,6127350
3,BOL,1356,8520,32986612
3,BOL,729,5365,21404295
3,BOL,12,87,336352
3,BOL,17,124,480834
3,BOL,1,15185,58789014
3,BOL,440,2140,8449165
3,BOL,1233,10161,40184315
3,BOL,67,2285,9025853
3,BOL,7,188,742543
3,BOL,334,4455,17593784
3,BOL,110,347,1373482
3,BOL,246,1029,4070007
3,BOL,25,490,1946827
3,BOL,264,5673,22447405
3,BOL,23,485,1920136
3,BOL,27,569,2250130
3,BOL,1586,33354,131960191
3,BOL,194,362,1428108
